2018-09-14 14:23:16,789 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2018-09-14 14:23:19,567 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:200) -  [DUBBO] Load registry store file C:\Users\taoxi\.dubbo\dubbo-registry-dubbo-admin-127.0.0.1:2181.cache, data: {*/org.spring.springboot.dubbo.CityDubboService:*=empty://192.168.64.1/org.spring.springboot.dubbo.CityDubboService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=* empty://192.168.64.1/org.spring.springboot.dubbo.CityDubboService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=* override://192.168.64.1:20880/org.spring.springboot.dubbo.CityDubboService?category=configurators&dynamic=false&enabled=true&version=1.0.0&weight=200 empty://192.168.64.1/org.spring.springboot.dubbo.CityDubboService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=*}, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:23:28,758 [localhost-startStop-1] INFO  com.alibaba.dubbo.config.ReferenceConfig (ReferenceConfig.java:425) -  [DUBBO] Refer dubbo service com.alibaba.dubbo.registry.RegistryService from url zookeeper://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&pid=5684&refer=application%3Ddubbo-admin%26check%3Dfalse%26dubbo%3D2.6.2%26interface%3Dcom.alibaba.dubbo.registry.RegistryService%26methods%3Dlookup%2Cunsubscribe%2Csubscribe%2Cunregister%2Cregister%26pid%3D5684%26register.ip%3D192.168.64.1%26revision%3D2.6.2%26side%3Dconsumer%26timestamp%3D1536906199502&timestamp=1536906199536, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:23:28,787 [localhost-startStop-1] INFO  com.alibaba.dubboadmin.governance.sync.RegistryServerSync (RegistryServerSync.java:78) -  [DUBBO] Init Dubbo Admin Sync Cache..., dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:23:28,789 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.64.1?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:23:29,134 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.64.1/org.spring.springboot.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=*, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:23:29,203 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.64.1/org.spring.springboot.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=*, urls: [empty://192.168.64.1/org.spring.springboot.dubbo.CityDubboService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=*, empty://192.168.64.1/org.spring.springboot.dubbo.CityDubboService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=*, empty://192.168.64.1/org.spring.springboot.dubbo.CityDubboService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=*, override://192.168.64.1:20880/org.spring.springboot.dubbo.CityDubboService?category=configurators&dynamic=false&enabled=true&version=1.0.0&weight=200], dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:23:30,501 [main] INFO  com.alibaba.dubboadmin.SpringUtil (SpringUtil.java:33) -  [DUBBO] set applicationcontext, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:24:55,575 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:24:56,667 [http-nio-7001-exec-2] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 192.168.64.1
2018-09-14 14:25:03,889 [http-nio-7001-exec-3] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 192.168.64.1
